Question,Answer,Option1,Option2,Option3,Option4
"Which element has the atomic number 1?","Hydrogen","Helium","Hydrogen","Lithium","Oxygen"
"What is the atomic weight of Hydrogen?","1.008","4.003","1.008","12.011","16.00"
"What is the symbol of Hydrogen?","H","He","H","Li","O"
"Which element has the atomic number 2?","Helium","Hydrogen","Helium","Neon","Carbon"
"What is the atomic weight of Helium?","4.003","1.008","4.003","39.95","28.09"
"What is the symbol of Helium?","He","H","He","Ne","C"
"Which element has the atomic number 3?","Lithium","Oxygen","Lithium","Boron","Iron"
"What is the atomic weight of Lithium?","6.94","22.99","6.94","40.08","55.85"
"What is the symbol of Lithium?","Li","O","Li","B","Fe"
"Which element has the atomic number 4?","Beryllium","Nitrogen","Beryllium","Phosphorus","Chlorine"
"What is the atomic weight of Beryllium?","9.01","26.98","9.01","24.31","87.62"
"What is the symbol of Beryllium?","Be","N","Be","P","Cl"
"Which element has the atomic number 5?","Boron","Sodium","Boron","Calcium","Sulfur"
"What is the atomic weight of Boron?","10.81","12.01","10.81","14.01","32.06"
"What is the symbol of Boron?","B","Na","B","Ca","S"
"Which element has the atomic number 6?","Carbon","Fluorine","Carbon","Silicon","Magnesium"
"What is the atomic weight of Carbon?","12.01","10.81","12.01","15.99","20.18"
"What is the symbol of Carbon?","C","F","C","Si","Mg"
"Which element has the atomic number 7?","Nitrogen","Sodium","Nitrogen","Aluminium","Argon"
"What is the atomic weight of Nitrogen?","14.01","12.01","14.01","39.95","22.99"
"What is the symbol of Nitrogen?","N","Na","N","Al","Ar"
"Which element has the atomic number 8?","Oxygen","Hydrogen","Oxygen","Sulfur","Neon"
"What is the atomic weight of Oxygen?","15.99","14.01","15.99","32.06","28.09"
"What is the symbol of Oxygen?","O","H","O","S","Ne"
"Which element has the atomic number 9?","Fluorine","Lithium","Fluorine","Chlorine","Magnesium"
"What is the atomic weight of Fluorine?","19.00","20.18","19.00","35.45","40.08"
"What is the symbol of Fluorine?","F","Li","F","Cl","Mg"
"Which element has the atomic number 10?","Neon","Helium","Neon","Argon","Nitrogen"
"What is the atomic weight of Neon?","20.18","39.95","20.18","10.81","24.31"
"What is the symbol of Neon?","Ne","He","Ne","Ar","N"
"Which element has the atomic number 11?","Sodium","Potassium","Sodium","Magnesium","Calcium"
"What is the atomic weight of Sodium?","22.99","24.31","22.99","55.85","65.38"
"What is the symbol of Sodium?","Na","K","Na","Mg","Ca"
"Which element has the atomic number 12?","Magnesium","Calcium","Magnesium","Zinc","Aluminium"
"What is the atomic weight of Magnesium?","24.31","40.08","24.31","26.98","35.45"
"What is the symbol of Magnesium?","Mg","Ca","Mg","Zn","Al"
"Which element has the atomic number 13?","Aluminium","Boron","Aluminium","Gallium","Iron"
"What is the atomic weight of Aluminium?","26.98","55.85","26.98","65.38","28.09"
"What is the symbol of Aluminium?","Al","B","Al","Ga","Fe"
"Which element has the atomic number 14?","Silicon","Phosphorus","Silicon","Sulfur","Chlorine"
"What is the atomic weight of Silicon?","28.09","32.06","28.09","40.08","16.00"
"What is the symbol of Silicon?","Si","P","Si","S","Cl"
"Which element has the atomic number 15?","Phosphorus","Sulfur","Phosphorus","Chlorine","Argon"
"What is the atomic weight of Phosphorus?","30.97","32.06","30.97","28.09","39.95"
"What is the symbol of Phosphorus?","P","S","P","Si","Cl"
"Which element has the atomic number 16?","Sulfur","Phosphorus","Sulfur","Chlorine","Argon"
"What is the atomic weight of Sulfur?","32.06","30.97","32.06","35.45","28.09"
"What is the symbol of Sulfur?","S","P","S","Si","Cl"
"Which element has the atomic number 17?","Chlorine","Sulfur","Chlorine","Argon","Potassium"
"What is the atomic weight of Chlorine?","35.45","32.06","35.45","39.95","28.09"
"What is the symbol of Chlorine?","Cl","S","Cl","Si","Ar"
"Which element has the atomic number 18?","Argon","Chlorine","Argon","Potassium","Calcium"
"What is the atomic weight of Argon?","39.95","35.45","39.95","40.08","32.06"
"What is the symbol of Argon?","Ar","Cl","Ar","Ca","K"
"Which element has the atomic number 19?","Potassium","Calcium","Potassium","Sodium","Magnesium"
"What is the atomic weight of Potassium?","39.10","40.08","39.10","22.99","24.31"
"What is the symbol of Potassium?","K","Ca","K","Na","Mg"
