Question,Answer,Option1,Option2,Option3,Option4
"What is the man looking at in the 'Distracted Boyfriend' stock photo meme?","Another woman","His girlfriend","Another woman","A cute dog","A fancy car"
"The 'Doge' meme features a dog of which breed?","Shiba Inu","Golden Retriever","Shiba Inu","Corgi","German Shepherd"
"What was the real name of the cat known as 'Grumpy Cat'?","Tardar Sauce","Snowball","Tardar Sauce","Mittens","Patches"
"In the 'This is Fine' meme, what is the dog surrounded by?","Fire","Water","Fire","A party","Books"
"The 'Woman Yelling at a Cat' meme features a white cat with what name?","Smudge","Oliver","Smudge","Whiskers","Leo"
"The act of 'Rickrolling' involves tricking someone into watching the music video for which song?","'Never Gonna Give You Up'","'Take on Me'","'Never Gonna Give You Up'","'Africa'","'All Star'"
"The 'Success Kid' meme features a baby on a beach making what gesture?","Clenching a fistful of sand","Waving goodbye","Clenching a fistful of sand","Crying","Eating sand"
"In the 'Drake Hotline Bling' meme format, what does Drake's gesture of approval signify?","Something preferable","Something confusing","Something preferable","Something disliked","Something difficult"
"The 'Is This a Pigeon?' meme is from which '90s anime?","The Brave Fighter of Sun Fighbird","Sailor Moon","The Brave Fighter of Sun Fighbird","Dragon Ball Z","Pokemon"
"What emotion does the 'Surprised Pikachu' meme convey when something predictable happens?","Feigned shock","Genuine happiness","Feigned shock","Anger","Sadness"
"The 'Expanding Brain' meme is used to show concepts that are increasingly what?","Absurd or enlightened","Simple or basic","Absurd or enlightened","Incorrect or false","Depressing or sad"
"Boromir from 'The Lord of the Rings' is the source of the meme, 'One does not simply...'?","'...walk into Mordor.'","'...eat just one.'","'...walk into Mordor.'","'...understand memes.'","'...finish the book.'"
"The 'Arthur's Fist' meme is used to express what emotion?","Frustration","Joy","Frustration","Surprise","Love"
"The 'Mocking SpongeBob' or 'SpoNGeBOb teXt' meme is used to do what to a statement?","Mock it by repeating it in alternating caps","Agree with it wholeheartedly","Mock it by repeating it in alternating caps","Analyze it seriously","Translate it"
"Which online platform is most associated with the origins of Pepe the Frog?","4chan","Facebook","4chan","Twitter","Instagram"
"The 'Roll Safe' meme, featuring a man tapping his head, gives what kind of advice?","Logically flawed but technically correct","Excellent financial tips","Logically flawed but technically correct","Serious relationship advice","Professional medical advice"
"What kind of animal was Harambe, the subject of widespread memes in 2016 after his death?","A gorilla","A tiger","A gorilla","A lion","A bear"
"The chef known as 'Salt Bae' became a meme for his flamboyant way of doing what?","Sprinkling salt","Flipping pancakes","Sprinkling salt","Chopping onions","Kneading dough"
"The 'Blinking White Guy' GIF is typically used as a reaction to show what?","Disbelief or confusion","Agreement","Disbelief or confusion","Happiness","Anger"
"The 'Crying Michael Jordan' face is photoshopped onto people to show sadness over what?","A loss or failure","A great victory","A loss or failure","A confusing situation","A happy event"
"The 'Left Exit 12 Off Ramp' meme, with a car swerving, represents what?","Making a sudden, drastic choice","Driving safely","Making a sudden, drastic choice","Getting lost","Following directions"
"The 'Ermahgerd' meme shows a young girl with braces ecstatically holding what?","Goosebumps books","Harry Potter books","Goosebumps books","Comic books","A kitten"
"The 'Bad Luck Brian' meme describes what kind of situations?","Unfortunate and embarrassing","Lucky and successful","Unfortunate and embarrassing","Brave and heroic","Normal and boring"
"The viral video 'Charlie Bit My Finger' features two brothers, and ends with the older brother exclaiming 'Charlie bit me!' after what happens?","Charlie bites his finger","Charlie falls asleep","Charlie bites his finger","Charlie tells a joke","Charlie starts crying"
"The 'Coffin Dance' meme, showing pallbearers dancing with a coffin, originated in which country?","Ghana","Nigeria","Ghana","Kenya","Brazil"
"The 'Anakin and Padmé' 4-panel meme format ends with Padmé being what?","Silent and concerned","Happy and agreeing","Silent and concerned","Angry and arguing","Confused and asking questions"
"The 'Stonks' meme features a character called Meme Man in front of a stock chart, with a deliberate misspelling of what word?","Stocks","Bonds","Stocks","Money","Business"
"The popular 'Baby Yoda' character from 'The Mandalorian' is officially named what?","Grogu","Yoda II","Grogu","The Child","Yaddle"
"The dismissive retort 'OK Boomer' is typically used by younger generations towards members of which generation?","Baby Boomers","Millennials","Baby Boomers","Gen X","Gen Z"
"A Facebook event that went viral in 2019 encouraged people to raid which secret facility to 'see them aliens'?","Area 51","The Pentagon","Area 51","Fort Knox","The White House"
